player_id,handle,league,recent_match_result,latest_news,nationality,past_teams,current_region,previous_regions,clutch_factor,role_versatility,roles,acs,kd_ratio,assist_score,map_awareness,team_survival_trade_efficiency,adr,agent_specialization
110038144708061371,squenzer,vct-challengers,"[{""date"": ""2023/05/053:00 am"", ""title"": ""VCL TH: Split 2Group Stage \u22c5W5"", ""url"": ""https://www.vlr.gg/188372/made-in-thailand-vs-the-infinity-esport-challengers-league-thailand-split-2-w5""}, {""date"": ""2023/04/283:00 am"", ""title"": ""VCL TH: Split 2Group Stage \u22c5W4"", ""url"": ""https://www.vlr.gg/188368/full-sense-vs-the-infinity-esport-challengers-league-thailand-split-2-w4""}, {""date"": ""2023/04/213:00 am"", ""title"": ""VCL TH: Split 2Group Stage \u22c5W3"", ""url"": ""https://www.vlr.gg/188362/sharper-esport-vs-the-infinity-esport-challengers-league-thailand-split-2-w3""}, {""date"": ""2023/04/206:30 am"", ""title"": ""VCL TH: Split 2Group Stage \u22c5W3"", ""url"": ""https://www.vlr.gg/188361/team-nkt-vs-the-infinity-esport-challengers-league-thailand-split-2-w3""}, {""date"": ""2023/04/075:30 am"", ""title"": ""VCL TH: Split 2Group Stage \u22c5W2"", ""url"": ""https://www.vlr.gg/188357/xerxia-esports-vs-the-infinity-esport-challengers-league-thailand-split-2-w2""}]",,THAILAND,"[{""team_name"": ""The Infinity Esport"", ""period"": ""joined in April 2023""}, {""team_name"": ""Capybara"", ""period"": ""left in April 2023""}, {""team_name"": ""Zootopia"", ""period"": """"}, {""team_name"": ""The Kak"", ""period"": """"}, {""team_name"": ""Fakemid"", ""period"": """"}]",SEA,"[""SEA""]",0.0,2,"[""Initiator"", ""Controller""]",221.5,1.26,0.635,0.12,0.73,140.9,"{""viper"": 267, ""breach"": 162, ""kayo"": 144, ""astra"": 75, ""omen"": 44}"
109862175339402049,Davids,vct-challengers,,,,,LAS,"[""LAS""]",0.0,0,[],0.0,0.0,0.0,0.0,0.0,0.0,{}
111889079179869324,Tyson1,vct-challengers,,,,,VN,"[""VN""]",0.0,0,[],0.0,0.0,0.0,0.0,0.0,0.0,{}
107843046917811579,Reit4,vct-challengers,,,,,JP,"[""JP""]",0.0,0,[],0.0,0.0,0.0,0.0,0.0,0.0,{}
111799293164787370,qq1,vct-challengers,,,,,SEA,"[""SEA""]",0.0,0,[],0.0,0.0,0.0,0.0,0.0,0.0,{}
107786688753173200,makaveliii,vct-challengers,,,,,,,0.0,0,[],0.0,0.0,0.0,0.0,0.0,0.0,{}
106116480707139460,Ant,vct-challengers,"[{""date"": ""2024/09/237:00 pm"", ""title"": ""YFP Lockdown ArenaGroup Stage \u22c5Decider (H)"", ""url"": ""https://www.vlr.gg/407399/ydz-esports-vs-chicken-parm-yfp-x-alliance-lockdown-arena-decider-h""}, {""date"": ""2024/09/235:00 pm"", ""title"": ""YFP Lockdown ArenaGroup Stage \u22c5Elim (H)"", ""url"": ""https://www.vlr.gg/407398/tenax-gc-vs-chicken-parm-yfp-x-alliance-lockdown-arena-elim-h""}, {""date"": ""2024/09/233:00 pm"", ""title"": ""YFP Lockdown ArenaGroup Stage \u22c5Opening (H)"", ""url"": ""https://www.vlr.gg/407396/ydz-esports-vs-chicken-parm-yfp-x-alliance-lockdown-arena-opening-h""}, {""date"": ""2024/09/2112:00 pm"", ""title"": ""TFI - Fight or Flight 2Consolation Bracket \u22c5Ro32"", ""url"": ""https://www.vlr.gg/406443/silly-kittens-vs-ufo-minions-the-funhaver-invitational-fight-or-flight-2-ro32""}, {""date"": ""2024/09/207:00 pm"", ""title"": ""TFI - Fight or Flight 2Group Stage \u22c5Decider (L)"", ""url"": ""https://www.vlr.gg/406098/english-or-spanish-vs-silly-kittens-the-funhaver-invitational-fight-or-flight-2-decider-l""}]",,BRAZIL,"[{""team_name"": ""Lionheart eSports"", ""period"": """"}]",,,0.0,3,"[""Initiator"", ""Sentinel"", ""Controller""]",212.0,1.14,0.635,0.09,0.79,138.5,"{""breach"": 335, ""skye"": 167, ""kayo"": 120, ""omen"": 84, ""sova"": 55, ""killjoy"": 24}"
106605733786341561,sSuLpYMrE,vct-challengers,,,,,,,0.0,0,[],0.0,0.0,0.0,0.0,0.0,0.0,{}
106620804806530847,Yiro,vct-challengers,,,CHILE,"[{""team_name"": ""Furious Gaming"", ""period"": ""August 2020 \u2013 July 2021""}]",,,0.0,0,[],0.0,0.0,0.0,0.0,0.0,0.0,{}
106605676214866058,Ripablo,vct-challengers,"[{""date"": ""2024/10/113:00 am"", ""title"": ""Predator League 25: JPQF"", ""url"": ""https://www.vlr.gg/411956/sengoku-gaming-vs-igzist-predator-league-2025-japan-qf""}, {""date"": ""2024/10/1011:00 pm"", ""title"": ""Predator League 25: JPRo16"", ""url"": ""https://www.vlr.gg/411951/reignite-lily-vs-igzist-predator-league-2025-japan-ro16""}, {""date"": ""2024/10/081:40 am"", ""title"": ""Red Bull HG #5Japan Qualifier \u22c5SF"", ""url"": ""https://www.vlr.gg/410482/igzist-vs-crest-gaming-zst-red-bull-home-ground-5-sf""}, {""date"": ""2024/10/0611:20 pm"", ""title"": ""Red Bull HG #5Japan Qualifier \u22c5QF"", ""url"": ""https://www.vlr.gg/410479/murash-gaming-vs-igzist-red-bull-home-ground-5-qf""}, {""date"": ""2024/09/271:00 am"", ""title"": ""Red Bull HG #5Japan Qualifier \u22c5GF P4"", ""url"": ""https://www.vlr.gg/410364/blue-bees-esp-vs-igzist-red-bull-home-ground-5-gf-p4""}]",,JAPAN,"[{""team_name"": ""IGZIST"", ""period"": ""December 2021 \u2013 October 2023""}, {""team_name"": ""BlackBird Ignis"", ""period"": ""left in September 2021""}]",,,0.0,3,"[""Duelist"", ""Sentinel"", ""Controller""]",213.5,1.16,0.6,0.16,0.74,125.3,"{""omen"": 2168, ""astra"": 835, ""brimstone"": 560, ""viper"": 216, ""phoenix"": 203, ""sage"": 173, ""harbor"": 24}"
